intron	complex	clade	gene	sp	length	depth	RES_density	Ancestor
NA	ATP	ANA	atp1	Amborella	1521	2.780754934	7.227332457	0.333333333
NA	ATP	ANA	atp1	Nymphaea	1551	3.210155648	10.95360825	0.5
NA	ATP	magnoliid	atp1	Lirio	1530	3.125971924	10.45068583	0.470588235
NA	ATP	magnoliid	atp1	AriG	1530	4.545281962	9.797517962	0.4375
NA	ATP	magnoliid	atp1	AriF	1530	4.213554514	8.491182234	0.357142857
NA	ATP	magnoliid	atp1	AriM	1530	2.26E+00	9.144350098	0.533333333
NA	ATP	magnoliid	atp1	Thottea	1530	3.882826641	7.184846506	0.333333333
NA	ATP	magnoliid	atp1	Asarum	1530	2.650576668	9.144350098	0.6
NA	ATP	magnoliid	atp1	Saruma	1530	2.986006034	7.83801437	0.538461538
NA	ATP	monocot	atp1	allium	1524	2.31E+00	8.524590164	0.571428571
NA	ATP	monocot	atp1	phoenix	1530	5.297932836	3.265839321	0.666666667
NA	ATP	monocot	atp1	zea	1527	1.48E+00	3.272251309	0.666666667
NA	ATP	monocot	atp1	oryza	1530	2.50E+00	3.265839321	0.666666667
NA	ATP	eudicot	atp1	nelumbo	1530	3.925711759	8.491182234	0.357142857
NA	ATP	eudicot	atp1	malus	1533	1.99E+00	4.563233377	0.5
NA	ATP	eudicot	atp1	arabidopsis	1524	3.561513552	3.93442623	0.571428571
NA	ATP	eudicot	atp1	helianthus	1533	4.329384622	3.911342894	0.428571429
NA	ATP	eudicot	atp1	nicotiana	1530	1.97E+00	4.572175049	0.375
NA	ATP	ANA	atp4	Amborella	588	1.71E+00	20.37351443	0.076923077
NA	ATP	ANA	atp4	Nymphaea	579	4.97E-01	24.13793103	0.133333333
NA	ATP	magnoliid	atp4	Lirio	582	7.17E-01	32.59005146	0.25
NA	ATP	magnoliid	atp4	AriG	582	1.09E+00	25.72898799	0.3125
NA	ATP	magnoliid	atp4	AriF	582	8.78E-01	24.01372213	0.266666667
NA	ATP	magnoliid	atp4	AriM	582	1.28E+00	25.72898799	0.25
NA	ATP	magnoliid	atp4	Thottea	573	7.74E-01	20.90592334	0.230769231
NA	ATP	magnoliid	atp4	Asarum	582	1.70E+00	25.72898799	0.3125
NA	ATP	magnoliid	atp4	Saruma	582	1.09E+00	25.72898799	0.3125
NA	ATP	monocot	atp4	allium	564	1.96E+00	23.00884956	0.285714286
NA	ATP	monocot	atp4	phoenix	591	2.12E+00	15.2027027	0.3
NA	ATP	monocot	atp4	zea	624	2.08E+00	16	0.272727273
NA	ATP	monocot	atp4	oryza	594	1.25E+00	16.80672269	0.272727273
NA	ATP	eudicot	atp4	nelumbo	597	8.02E-01	25.08361204	0.1875
NA	ATP	eudicot	atp4	malus	597	2.36E+00	20.06688963	0.307692308
NA	ATP	eudicot	atp4	arabidopsis	579	9.70E-02	15.51724138	0.4
NA	ATP	eudicot	atp4	helianthus	576	6.91E-01	19.06412478	0.333333333
NA	ATP	eudicot	atp4	nicotiana	597	1.06E+00	16.72240803	0.181818182
NA	ATP	ANA	atp6	Amborella	774	1.06E+00	29.67741935	0.083333333
NA	ATP	ANA	atp6	Nymphaea	792	7.25E-01	39.09205549	0.1875
NA	ATP	magnoliid	atp6	Lirio	774	1.15E+00	42.58064516	0.117647059
NA	ATP	magnoliid	atp6	AriG	774	8.07E-01	36.12903226	0.206896552
NA	ATP	magnoliid	atp6	AriF	774	8.18E-01	36.12903226	0.206896552
NA	ATP	magnoliid	atp6	AriM	774	1.13E+00	34.83870968	0.178571429
NA	ATP	magnoliid	atp6	Thottea	768	1.10E+00	28.60858257	0.086956522
NA	ATP	magnoliid	atp6	Asarum	720	1.30E+00	33.28710125	0.04
NA	ATP	magnoliid	atp6	Saruma	720	1.12E+00	18.03051318	0.285714286
NA	ATP	monocot	atp6	allium	786	1.50E+00	30.49555273	0.12
NA	ATP	monocot	atp6	phoenix	774	6.90E-01	37.41935484	0.1
NA	ATP	monocot	atp6	zea	1188	1.02E+00	15.97981497	0.15
NA	ATP	monocot	atp6	oryza	1005	8.22E-01	19.88071571	0.285714286
NA	ATP	eudicot	atp6	nelumbo	774	1.23E+00	37.41935484	0.133333333
NA	ATP	eudicot	atp6	malus	915	1.40E+00	22.92576419	0.090909091
NA	ATP	eudicot	atp6	arabidopsis	1050	1.42E+00	1.902949572	0.666666667
NA	ATP	eudicot	atp6	helianthus	906	6.64E-01	0	1
NA	ATP	eudicot	atp6	nicotiana	1149	1.04E+00	15.65217391	0.157894737
NA	ATP	ANA	atp8	Amborella	480	1.30E+00	14.55301455	0.125
NA	ATP	ANA	atp8	Nymphaea	489	9.43E-01	16.32653061	0.333333333
NA	ATP	magnoliid	atp8	Lirio	480	1.20E+00	18.71101871	0.3
NA	ATP	magnoliid	atp8	AriG	480	1.16E+00	18.71101871	0.4
NA	ATP	magnoliid	atp8	AriF	480	1.56E+00	16.63201663	0.333333333
NA	ATP	magnoliid	atp8	AriM	480	1.80E+00	27.02702703	0.5
NA	ATP	magnoliid	atp8	Thottea	480	4.99E-01	16.63201663	0.333333333
NA	ATP	magnoliid	atp8	Asarum	480	5.51E-01	24.94802495	0.538461538
NA	ATP	magnoliid	atp8	Saruma	480	1.19E+00	18.71101871	0.4
NA	ATP	monocot	atp8	allium	465	1.59E+00	6.43776824	0.5
NA	ATP	monocot	atp8	phoenix	471	3.86E-01	14.83050847	0.5
NA	ATP	monocot	atp8	zea	462	2.29E+00	10.79913607	0.666666667
NA	ATP	monocot	atp8	oryza	468	8.74E-01	14.92537313	0.5
NA	ATP	eudicot	atp8	nelumbo	480	1.49E+00	20.79002079	0.454545455
NA	ATP	eudicot	atp8	malus	480	1.09E+00	14.55301455	0.5
NA	ATP	eudicot	atp8	arabidopsis	477	2.698085894	2.092050209	1
NA	ATP	eudicot	atp8	helianthus	480	1.50E+00	10.3950104	0.5
NA	ATP	eudicot	atp8	nicotiana	471	1.46E+00	12.71186441	0.428571429
NA	CCM	ANA	ccmB	Amborella	621	1.75E-01	78.77813505	0.12
NA	CCM	ANA	ccmB	Nymphaea	621	2.62E-01	75.56270096	0.166666667
NA	CCM	magnoliid	ccmB	Lirio	621	2.85E-01	70.73954984	0.2
NA	CCM	magnoliid	ccmB	AriG	621	2.11E-01	75.56270096	0.145833333
NA	CCM	magnoliid	ccmB	AriF	621	2.65E-01	70.73954984	0.133333333
NA	CCM	magnoliid	ccmB	AriM	621	2.27E-01	72.34726688	0.130434783
NA	CCM	magnoliid	ccmB	Thottea	621	3.39E-01	72.34726688	0.152173913
NA	CCM	magnoliid	ccmB	Asarum	612	2.47E-01	68.51549755	0.186046512
NA	CCM	magnoliid	ccmB	Saruma	612	1.54E-01	73.40946166	0.195652174
NA	CCM	monocot	ccmB	allium	621	8.70E-02	70.73954984	0.2
NA	CCM	monocot	ccmB	phoenix	621	2.59E-01	49.8392283	0.15625
NA	CCM	monocot	ccmB	zea	621	2.41E-01	67.52411576	0.209302326
NA	CCM	monocot	ccmB	oryza	621	1.80E-01	54.66237942	0.142857143
NA	CCM	eudicot	ccmB	nelumbo	621	1.95E-01	83.60128617	0.20754717
NA	CCM	eudicot	ccmB	malus	621	3.58E-01	65.91639871	0.166666667
NA	CCM	eudicot	ccmB	arabidopsis	621	1.78E-01	40.19292605	0.076923077
NA	CCM	eudicot	ccmB	helianthus	621	1.69E-01	73.95498392	0.212765957
NA	CCM	eudicot	ccmB	nicotiana	621	2.22E-01	77.17041801	0.265306122
NA	CCM	ANA	ccmC	Amborella	717	2.81E-01	57.10306407	0.071428571
NA	CCM	ANA	ccmC	Nymphaea	720	2.03E-01	44.38280166	0.151515152
